Day,Mid,Bid,Ask,Spread,Drift,Volatility,Jump,News
80,104.631,99.6453,109.616,9.97074,0.000211183,-0.00292552,0,No news
81,104.573,99.5772,109.57,9.99259,0.000195279,-0.000741468,0,No news
82,112.135,107.187,117.083,9.89587,0.000228676,-0.0104131,0.08,"Global macro uncertainty rises | Rumor: firm exploring strategic options"
83,112.199,107.197,117.2,10.0034,0.000225233,0.000340229,0,No news
84,111.765,106.786,116.745,9.95906,0.000221942,-0.00409407,0,No news
85,112.08,107.067,117.093,10.0262,0.000193818,0.00262175,0,No news
86,112.228,107.222,117.234,10.0112,0.000194367,0.00112291,0,No news
87,113.009,107.976,118.043,10.0674,0.000194569,0.00674482,0,No news
88,113.008,108.009,118.007,9.99791,0.000193723,-0.000208611,0,No news
89,113.069,108.068,118.071,10.0035,0.000194723,0.000350363,0,No news
90,113.243,108.236,118.25,10.0134,0.0001951,0.00134073,0,No news
91,113.504,108.494,118.515,10.0211,0.000196073,0.00210797,0,No news
92,113.545,108.545,118.546,10.0017,0.000195851,0.000165862,0,No news
93,113.614,108.612,118.616,10.0041,0.000196198,0.000411086,0,No news
94,113.3,108.315,118.285,9.97034,0.000196359,-0.00296561,0,No news
95,113.272,108.274,118.27,9.99556,0.000196946,-0.000443574,0,No news
96,113.306,108.306,118.307,10.001,0.000197432,0.00010287,0,No news
97,113.384,108.381,118.386,10.0049,0.000198274,0.000485704,0,No news
98,113.436,108.434,118.437,10.0026,0.000198144,0.000258724,0,No news
99,113.175,108.188,118.163,9.97503,0.000197591,-0.00249672,0,No news
100,113.273,108.269,118.276,10.0066,0.000198053,0.00066206,0,No news
101,113.338,108.336,118.34,10.0038,0.000198135,0.000378456,0,No news
102,113.205,108.212,118.198,9.98631,0.000198032,-0.00136871,0,No news
103,113.138,108.142,118.134,9.99205,0.000198177,-0.000795003,0,No news
104,113.36,108.351,118.369,10.0176,0.000197616,0.00176359,0,No news
105,113.298,108.302,118.295,9.9926,0.00019738,-0.00074039,0,No news
106,113.368,108.365,118.37,10.0041,0.000197168,0.000413842,0,No news
107,113.227,108.234,118.219,9.9856,0.000197221,-0.00144018,0,No news
108,113.259,108.259,118.26,10.0009,0.000196968,9.08542e-05,0,No news
109,113.368,108.364,118.371,10.0076,0.000197709,0.000757375,0,No news
110,113.438,108.435,118.44,10.0042,0.00019787,0.000419959,0,No news
111,113.487,108.486,118.488,10.0024,0.000198205,0.000237772,0,No news
112,113.312,108.321,118.303,9.98257,0.000198187,-0.00174292,0,No news
113,116.789,111.789,121.789,10.0001,0.000218131,5.79844e-06,0.03,"Rumor: firm exploring strategic options"
114,116.9,111.896,121.904,10.0073,0.000217932,0.00073432,0,No news
115,116.93,111.93,121.931,10.0006,0.000198387,6.09378e-05,0,No news
116,116.924,111.925,121.922,9.99742,0.000198388,-0.000257851,0,No news
117,116.932,111.932,121.931,9.99873,0.000198388,-0.00012703,0,No news
118,117.04,112.036,122.043,10.0072,0.00019827,0.000723023,0,No news
119,116.97,111.974,121.966,9.99208,0.000198246,-0.000791993,0,No news
120,116.832,111.839,121.825,9.98621,0.000197792,-0.00137912,0,No news
121,116.695,111.702,121.688,9.98629,0.000197805,-0.00137088,0,No news
122,116.626,111.63,121.622,9.99211,0.000198069,-0.000788928,0,No news
123,116.613,111.614,121.611,9.99688,0.000198283,-0.000311964,0,No news
124,116.647,111.646,121.647,10.0009,0.000198408,9.20787e-05,0,No news
125,116.67,111.67,121.67,10,0.000198413,1.71295e-06,0,No news
126,122.681,117.681,127.681,9.9996,0.000277768,-3.96221e-05,0.05,"Firm reports quarterly earnings"
127,122.723,117.722,127.724,10.0014,0.000198126,0.000141991,0,No news
128,122.736,117.736,127.735,9.99906,0.000198183,-9.37294e-05,0,No news
129,122.776,117.775,127.777,10.0013,0.000197952,0.000130029,0,No news
130,123.009,118,128.017,10.0169,0.00019795,0.00169443,0,No news
131,122.823,117.832,127.815,9.98294,0.000198001,-0.0017062,0,No news
132,122.931,117.928,127.935,10.0068,0.000197967,0.000680756,0,No news
133,122.925,117.926,127.924,9.99752,0.000197829,-0.000247703,0,No news
134,122.833,117.837,127.828,9.9905,0.00019795,-0.000949663,0,No news
135,122.807,117.809,127.805,9.99595,0.000197801,-0.000405041,0,No news
136,122.875,117.873,127.877,10.0035,0.00019794,0.000354598,0,No news
137,122.747,117.753,127.741,9.98759,0.000197907,-0.00124107,0,No news
138,122.617,117.623,127.611,9.98745,0.000197442,-0.00125485,0,No news
139,122.568,117.571,127.565,9.99397,0.000197959,-0.000603088,0,No news
140,122.806,117.797,127.814,10.0174,0.000197754,0.00174236,0,No news
141,122.946,117.942,127.951,10.0095,0.000197738,0.000948127,0,No news
142,122.993,117.992,127.994,10.0018,0.000197599,0.00018028,0,No news
143,122.991,117.992,127.99,9.9979,0.00019695,-0.000210058,0,No news
144,122.904,117.909,127.9,9.99096,0.000196497,-0.000903578,0,No news
145,123.067,118.061,128.073,10.0113,0.000197415,0.00112644,0,No news
146,122.851,117.861,127.842,9.98049,0.0001963,-0.00195116,0,No news
147,119.08,114.087,124.073,9.98646,0.000176342,-0.00135392,-0.03,"Rumor: firm exploring strategic options"
148,119.438,114.424,124.452,10.0282,0.000176075,0.00282393,0,No news
149,119.466,114.466,124.467,10.0004,0.00019776,3.95971e-05,0,No news
150,115.786,110.794,120.779,9.98536,0.000176169,-0.00146445,-0.03,"Rumor: firm exploring strategic options"
151,115.851,110.849,120.853,10.0038,0.000177811,0.000377973,0,No news
152,115.937,110.934,120.939,10.0054,0.000198234,0.000543,0,No news
153,116.028,111.025,121.031,10.0059,0.000198158,0.000589084,0,No news
154,116.052,111.052,121.052,10.0001,0.000198413,7.14668e-06,0,No news
155,116.123,111.121,121.125,10.0041,0.000198377,0.000412718,0,No news
156,116.147,111.147,121.147,10.0001,0.000198413,7.94092e-06,0,No news
157,116.169,111.169,121.169,9.99997,0.000198413,-3.10979e-06,0,No news
158,116.192,111.192,121.192,9.99999,0.000198413,-5.24718e-07,0,No news
159,116.216,111.216,121.216,10,0.000198413,3.14298e-06,0,No news
160,116.225,111.226,121.224,9.99882,0.000198362,-0.000118388,0,No news
161,116.274,111.273,121.275,10.0022,0.0001983,0.000223754,0,No news
162,116.405,111.4,121.409,10.0092,0.000197807,0.000923983,0,No news
163,116.549,111.544,121.554,10.0104,0.000197515,0.00104089,0,No news
164,116.58,111.58,121.58,10.0007,0.000198054,6.83544e-05,0,No news
165,116.571,111.573,121.57,9.99728,0.000197247,-0.000271538,0,No news
166,116.639,111.637,121.641,10.0038,0.000196893,0.00038339,0,No news
167,116.26,111.278,121.243,9.96553,0.00019644,-0.00344664,0,No news
168,116.475,111.467,121.484,10.0165,0.000196593,0.00165042,0,No news
169,116.444,111.446,121.442,9.99534,0.000195979,-0.000466371,0,No news
170,116.287,111.295,121.28,9.9846,0.000196465,-0.0015404,0,No news
171,111.287,106.257,116.316,10.0589,0.000150104,0.00589447,-0.05,"Global macro uncertainty rises"
172,111.033,106.045,116.021,9.97568,0.00014878,-0.00243169,0,No news
173,110.754,105.767,115.74,9.9733,0.000152056,-0.00266981,0,No news
174,110.744,105.745,115.742,9.99714,0.000196918,-0.000285879,0,No news
175,110.788,105.787,115.789,10.002,0.000197351,0.000201791,0,No news
176,110.718,105.722,115.714,9.99167,0.000197393,-0.00083319,0,No news
177,110.677,105.68,115.674,9.99437,0.000197676,-0.000562625,0,No news
178,110.731,105.73,115.732,10.0029,0.000197867,0.000287096,0,No news
179,110.54,105.55,115.531,9.98078,0.000197787,-0.00192151,0,No news
180,110.357,105.366,115.348,9.98144,0.000196977,-0.00185633,0,No news
181,110.301,105.305,115.298,9.99299,0.000196725,-0.000700702,0,No news
182,110.596,105.583,115.608,10.0247,0.000196731,0.00246861,0,No news
183,110.683,105.68,115.686,10.0059,0.000196909,0.000590253,0,No news
184,110.876,105.868,115.883,10.0154,0.000196505,0.00154331,0,No news
185,110.842,105.844,115.839,9.99498,0.000196458,-0.000501942,0,No news
186,110.839,105.84,115.838,9.99776,0.000196223,-0.000224244,0,No news
187,111.077,106.068,116.087,10.0196,0.000196616,0.00195571,0,No news
188,111.5,106.482,116.518,10.036,0.000196766,0.00359657,0,No news
189,116.523,111.554,121.492,9.93797,0.000274285,-0.00620311,0.05,"Firm reports quarterly earnings"
190,116.495,111.498,121.493,9.99563,0.000196942,-0.000436683,0,No news
191,111.186,106.17,116.202,10.0319,0.000154646,0.00319491,-0.05,"Global macro uncertainty rises"
192,111.222,106.222,116.223,10.0018,0.000154037,0.00017615,0,No news
193,111.426,106.418,116.435,10.0168,0.000150409,0.00167931,0,No news
194,111.652,106.643,116.661,10.0183,0.000195794,0.00183186,0,No news
195,111.552,106.557,116.546,9.98905,0.00019528,-0.00109479,0,No news
196,111.017,106.042,115.992,9.94997,0.000195868,-0.00500345,0,No news
197,110.966,105.969,115.963,9.99345,0.000196045,-0.000655425,0,No news
198,111.4,106.381,116.419,10.0371,0.000196028,0.00370817,0,No news
199,112.029,107.001,117.056,10.0543,0.000195399,0.00543086,0,No news
200,111.501,106.526,116.476,9.95085,0.000194247,-0.00491464,0,No news
201,111.257,106.269,116.246,9.97619,0.000194564,-0.00238068,0,No news
202,110.957,105.971,115.942,9.97099,0.000193349,-0.002901,0,No news
203,110.886,105.89,115.882,9.99167,0.000194321,-0.000833264,0,No news
204,111.15,106.139,116.161,10.0219,0.000192885,0.00218703,0,No news
205,111.236,106.233,116.238,10.0058,0.000192772,0.000576704,0,No news
206,111.447,106.439,116.456,10.0171,0.000192082,0.00170807,0,No news
207,111.825,106.809,116.841,10.0319,0.000192151,0.00318965,0,No news
208,112.203,107.187,117.219,10.0318,0.000192506,0.00318499,0,No news
209,111.854,106.871,116.838,9.96696,0.000193152,-0.00330381,0,No news
210,112.125,107.114,117.137,10.0223,0.000192847,0.00222672,0,No news
211,112.239,107.235,117.243,10.0082,0.000192755,0.000818159,0,No news
212,111.296,106.339,116.253,9.91374,0.000192222,-0.00862601,0,No news
213,110.838,105.859,115.816,9.95677,0.000192711,-0.00432278,0,No news
214,111.018,106.011,116.025,10.0144,0.000192789,0.00143554,0,No news
215,110.66,105.677,115.643,9.96577,0.000191667,-0.0034226,0,No news
216,110.602,105.605,115.598,9.99282,0.000191624,-0.000717736,0,No news
217,110.451,105.459,115.443,9.98442,0.000193675,-0.00155832,0,No news
218,110.649,105.641,115.657,10.0159,0.000194756,0.00159347,0,No news
219,110.438,105.448,115.427,9.97897,0.000195867,-0.00210284,0,No news
220,110.402,105.405,115.4,9.99481,0.000197143,-0.000519295,0,No news
221,116.22,111.215,121.226,10.0112,0.000234443,0.00112114,0.05,"Global macro uncertainty rises"
222,116.29,111.289,121.292,10.0037,0.000233255,0.000370437,0,No news
223,116.059,111.07,121.048,9.97776,0.000235404,-0.00222427,0,No news
224,115.93,110.936,120.923,9.98685,0.000197812,-0.0013151,0,No news
225,116.03,111.027,121.034,10.0067,0.000197363,0.000669134,0,No news
226,119.15,114.168,124.131,9.96317,0.000215091,-0.00368337,0.03,"Rumor: firm exploring strategic options"
227,118.862,113.875,123.848,9.97364,0.00021392,-0.00263638,0,No news
228,118.858,113.859,123.857,9.99775,0.000196847,-0.000224909,0,No news
229,118.719,113.726,123.712,9.98629,0.000197746,-0.00137095,0,No news
230,118.919,113.912,123.927,10.0149,0.000198174,0.00148878,0,No news
231,118.965,113.964,123.966,10.0018,0.000198138,0.000183914,0,No news
232,118.982,113.983,123.982,9.9995,0.000198288,-5.00086e-05,0,No news
233,119.054,114.052,124.056,10.004,0.000198254,0.000402346,0,No news
234,113.268,108.268,118.268,10.0002,0.00015873,1.88415e-05,-0.05,"Global macro uncertainty rises"
235,113.185,108.19,118.181,9.99113,0.000158336,-0.000887427,0,No news
236,113.059,108.066,118.053,9.9873,0.000157733,-0.00127003,0,No news
237,113.164,108.16,118.167,10.0072,0.00019825,0.000723175,0,No news
238,113.165,108.166,118.164,9.99812,0.000198357,-0.000187773,0,No news
239,113.251,108.248,118.254,10.0057,0.000198363,0.000565726,0,No news
240,113.273,108.273,118.273,9.99993,0.000198413,-6.81666e-06,0,No news
241,113.28,108.281,118.28,9.99867,0.000198388,-0.000132781,0,No news
242,113.316,108.315,118.316,10.0011,0.000198288,0.000114946,0,No news
243,113.333,108.333,118.332,9.9995,0.000198327,-4.9786e-05,0,No news
244,113.326,108.327,118.324,9.99739,0.000198225,-0.000260639,0,No news
245,113.31,108.312,118.308,9.99664,0.000198147,-0.00033562,0,No news
246,113.189,108.195,118.183,9.98733,0.000197646,-0.00126709,0,No news
247,113.186,108.187,118.185,9.99774,0.000198106,-0.000225872,0,No news
248,113.306,108.302,118.311,10.0087,0.000198251,0.000866213,0,No news
249,113.403,108.4,118.406,10.0065,0.000198199,0.000652286,0,No news
250,113.426,108.426,118.426,10.0001,0.000198413,5.51403e-06,0,No news
251,113.448,108.448,118.448,9.99998,0.000198413,-1.99269e-06,0,No news
252,119.3,114.3,124.3,10.0002,0.000277486,1.71921e-05,0.05,"Firm reports quarterly earnings"
253,119.262,114.264,124.259,9.99483,0.000198232,-0.000517275,0,No news
254,119.276,114.276,124.275,9.99916,0.000198267,-8.38827e-05,0,No news
255,119.36,114.357,124.362,10.0051,0.00019821,0.000508882,0,No news
256,119.328,114.33,124.325,9.99531,0.000198399,-0.000468692,0,No news
257,119.412,114.409,124.414,10.0051,0.000198182,0.000506879,0,No news
258,119.416,114.417,124.415,9.99837,0.000198338,-0.000162627,0,No news
259,119.432,114.432,124.432,9.99936,0.00019841,-6.43916e-05,0,No news
260,119.457,114.457,124.457,10.0001,0.000198413,6.58949e-06,0,No news
261,119.48,114.48,124.48,10,0.000198413,-4.834e-07,0,No news
262,119.528,114.527,124.529,10.002,0.000198408,0.000202091,0,No news
263,119.558,114.558,124.558,10.0005,0.000198288,5.26775e-05,0,No news
264,119.619,114.617,124.62,10.0031,0.000198401,0.000307333,0,No news
265,119.591,114.593,124.589,9.99571,0.000198393,-0.00042862,0,No news
266,119.591,114.592,124.59,9.99798,0.000198403,-0.00020229,0,No news
267,119.669,114.667,124.671,10.0046,0.000198356,0.000456119,0,No news
268,119.631,114.633,124.628,9.99485,0.000197911,-0.00051481,0,No news
269,119.695,114.693,124.696,10.0033,0.00019835,0.000334831,0,No news
270,119.663,114.665,124.661,9.99537,0.000198315,-0.000462944,0,No news
271,119.728,114.727,124.73,10.0035,0.000198163,0.000347259,0,No news
272,119.735,114.735,124.734,9.99855,0.000197557,-0.000145151,0,No news
273,119.841,114.838,124.845,10.0069,0.000197352,0.000692521,0,No news
274,119.657,114.665,124.648,9.98261,0.000197454,-0.00173904,0,No news
275,119.546,114.551,124.54,9.98874,0.000197046,-0.00112575,0,No news
276,120.022,115.003,125.041,10.0378,0.000196352,0.00377885,0,No news
277,120.144,115.14,125.148,10.0082,0.000196643,0.000824729,0,No news
278,119.841,114.854,124.827,9.97274,0.00019698,-0.00272623,0,No news
279,120.269,115.252,125.285,10.0337,0.000196827,0.00336542,0,No news
280,123.724,118.734,128.715,9.98115,0.000214715,-0.00188513,0.03,"Rumor: firm exploring strategic options"
281,123.981,118.971,128.99,10.0185,0.000214089,0.00185413,0,No news
282,124.02,119.02,129.021,10.0012,0.000197175,0.000123317,0,No news
283,123.842,118.85,128.833,9.98361,0.000197309,-0.00163884,0,No news
284,123.704,118.71,128.697,9.9869,0.000197385,-0.00131001,0,No news
285,123.662,118.665,128.66,9.99466,0.000197677,-0.000534069,0,No news
286,123.891,118.883,128.9,10.0165,0.00019774,0.00165203,0,No news
287,124.127,119.119,129.136,10.017,0.000198233,0.0017031,0,No news
288,124.116,119.118,129.115,9.99716,0.000198255,-0.000283889,0,No news
289,124.164,119.163,129.164,10.0018,0.000198259,0.000181193,0,No news
290,124.237,119.235,129.239,10.004,0.000198341,0.000396961,0,No news
291,124.27,119.27,129.271,10.0007,0.000198197,6.53882e-05,0,No news
292,124.336,119.334,129.338,10.0033,0.000198254,0.000329961,0,No news
293,124.466,119.462,129.471,10.0085,0.000198163,0.000850656,0,No news
294,124.468,119.469,129.467,9.99818,0.000197805,-0.000182164,0,No news
295,124.524,119.523,129.525,10.0025,0.00019785,0.000250575,0,No news
296,124.757,119.748,129.765,10.0167,0.000196528,0.00167035,0,No news
297,124.92,119.914,129.925,10.0111,0.000196056,0.00110736,0,No news
298,124.559,119.574,129.543,9.96911,0.000196968,-0.00308937,0,No news
299,124.963,119.947,129.978,10.0304,0.000197025,0.00304022,0,No news
300,124.984,119.984,129.984,9.99972,0.000197551,-2.79752e-05,0,No news
301,125.108,120.104,130.112,10.008,0.000197266,0.000795187,0,No news
302,124.97,119.976,129.963,9.98696,0.000197477,-0.00130439,0,No news
303,125.3,120.288,130.313,10.0245,0.000197743,0.00244672,0,No news
304,125.185,120.191,130.18,9.98883,0.000197571,-0.00111694,0,No news
305,125.105,120.109,130.101,9.9916,0.000197961,-0.000839854,0,No news
306,124.903,119.912,129.893,9.98183,0.000197306,-0.00181657,0,No news
307,124.653,119.664,129.642,9.97804,0.00019697,-0.002196,0,No news
308,118.662,113.659,123.665,10.0059,0.000156289,0.00058775,-0.05,"Global macro uncertainty rises"
309,118.459,113.468,123.45,9.98135,0.000154348,-0.00186546,0,No news
310,114.92,109.922,119.918,9.99532,0.00013495,-0.00046753,-0.03,"Rumor: firm exploring strategic options"
311,114.951,109.95,119.951,10.0009,0.000177008,9.04299e-05,0,No news
312,114.73,109.741,119.719,9.97881,0.000197656,-0.00211891,0,No news
313,114.653,109.658,119.649,9.99134,0.00019738,-0.000865765,0,No news
314,114.612,109.615,119.609,9.99444,0.000197164,-0.000556203,0,No news
315,114.594,109.596,119.592,9.99648,0.000196299,-0.000352435,0,No news
316,115.049,110.031,120.068,10.0377,0.000196935,0.00376754,0,No news
317,109.155,104.169,114.141,9.97254,0.000152925,-0.00274559,-0.05,"Global macro uncertainty rises"
318,108.771,103.789,113.752,9.9632,0.000152741,-0.00367977,0,No news
319,108.691,103.695,113.686,9.99107,0.000154946,-0.00089288,0,No news
320,108.713,103.713,113.713,10.0001,0.00019745,1.25364e-05,0,No news
321,108.712,103.713,113.711,9.99791,0.000197478,-0.000209344,0,No news
322,108.81,103.807,113.814,10.007,0.000197629,0.000704298,0,No news
323,108.864,103.863,113.866,10.003,0.000197584,0.000298499,0,No news
324,108.81,103.813,113.806,9.99302,0.000197892,-0.000698407,0,No news
325,108.987,103.979,113.994,10.0143,0.00019761,0.00142722,0,No news
326,108.895,103.9,113.89,9.98961,0.000197341,-0.00103931,0,No news
327,108.922,103.922,113.923,10.0006,0.000197634,5.53359e-05,0,No news
328,109.197,104.186,114.209,10.0232,0.000197721,0.00232164,0,No news
329,109.188,104.19,114.187,9.9972,0.000197913,-0.000280015,0,No news
330,109.186,104.187,114.185,9.99783,0.000198177,-0.000216579,0,No news
331,109.222,104.221,114.223,10.0013,0.000198205,0.000128209,0,No news
332,109.239,104.239,114.239,9.99958,0.000198292,-4.1584e-05,0,No news
333,109.286,104.285,114.287,10.0023,0.000198272,0.000231264,0,No news
334,109.212,104.216,114.207,9.99123,0.000198216,-0.000877466,0,No news
335,109.24,104.24,114.241,10.0006,0.000198412,6.3251e-05,0,No news
336,109.254,104.254,114.253,9.99923,0.000198387,-7.72201e-05,0,No news
337,109.276,104.276,114.276,10,0.000198401,2.94122e-06,0,No news
338,109.244,104.246,114.242,9.99514,0.000198335,-0.000486314,0,No news
339,109.245,104.246,114.244,9.99812,0.000198194,-0.000187847,0,No news
340,109.305,104.303,114.307,10.0035,0.00019827,0.000348557,0,No news
341,103.842,98.849,108.835,9.9857,0.000158193,-0.00143048,-0.05,"Global macro uncertainty rises"
342,103.896,98.8945,108.898,10.0037,0.000158299,0.000365828,0,No news
343,103.881,98.8823,108.879,9.99693,0.000157876,-0.000307218,0,No news
344,103.935,98.933,108.936,10.0032,0.000197908,0.000319725,0,No news
345,104.181,99.1697,109.191,10.0217,0.00019808,0.00216554,0,No news
346,104.195,99.1956,109.195,9.99944,0.000198374,-5.61579e-05,0,No news
347,104.207,99.2072,109.206,9.99911,0.000198399,-8.91509e-05,0,No news
348,104.15,99.1534,109.146,9.99253,0.000198299,-0.000746544,0,No news
349,104.233,99.2296,109.236,10.006,0.00019824,0.000597728,0,No news
350,107.475,102.473,112.477,10.0042,0.000218222,0.000416693,0.03,"Rumor: firm exploring strategic options"
351,107.704,102.694,112.714,10.0191,0.00021725,0.0019103,0,No news
352,107.732,102.732,112.733,10.0006,0.000198106,6.42411e-05,0,No news
353,107.923,102.915,112.93,10.0157,0.00019812,0.0015665,0,No news
354,107.949,102.949,112.949,10.0005,0.000198231,4.78825e-05,0,No news
355,107.945,102.946,112.944,9.99764,0.000198022,-0.000235743,0,No news
356,107.99,102.989,112.991,10.0022,0.000197947,0.000218603,0,No news
357,108.202,103.193,113.211,10.0176,0.000197852,0.00176466,0,No news
358,108.357,103.351,113.363,10.0124,0.000197266,0.00123557,0,No news
359,108.564,103.556,113.573,10.0171,0.000196856,0.00171091,0,No news
360,108.817,103.806,113.828,10.0213,0.000197241,0.00212906,0,No news
361,108.845,103.845,113.845,10.0006,0.000197658,5.95203e-05,0,No news
362,108.91,103.908,113.912,10.004,0.000196746,0.000400411,0,No news
363,108.816,103.821,113.81,9.98936,0.000197177,-0.00106388,0,No news
364,108.712,103.717,113.706,9.98845,0.000197124,-0.00115452,0,No news
